cell,integration_cluster,cell_type,sample_type
X121965741525413.N,3,Pro-angiogenesis Macrophage,N
X121965741987740.T,1,Exhausted CD8+ T cells,T
X121965753887134.T,3,Macrophage,T
X121965754042293.N,3,Pro-angiogenesis Macrophage,N
X121965754137894.N,2,Pro-angiogenesis Macrophage,N
X121965754146030.N,3,Pro-angiogenesis Macrophage,N
X121965772986205.N,3,Pro-angiogenesis Macrophage,N
X121965773482219.N,3,Pro-angiogenesis Macrophage,N
X121965773516075.N,3,Pro-angiogenesis Macrophage,N
X121965773543717.N,8,Lung Cancer Cell,N
X122282749094812.T,4,Macrophage,T
X122282749642987.N,6,Natural killer cell,N
X122282763536741.T,0,CD4+ T cell,T
X122282763742627.T,5,B Cell,T
X122282776350110.N,9,Pro-angiogenesis Macrophage,N
X122282776577901.N,0,Effector/Memory CD4+ T cells,N
X122282776677732.N,7,Pro-angiogenesis Macrophage,N
X122282795482347.N,1,Effector/Memory CD4+ T cells,N
X122282795547374.T,12,Endothelial Cells,T
X122282795714910.T,6,Natural killer cell,T
X122293352356075.T,0,CD4+ T cell,T
X122293352512435.T,1,Effector/Memory CD8+ T cells,T
X122293352576941.T,4,Macrophage,T
X122293352851699.T,1,Exhausted CD8+ T cells,T
X122293352876893.T,1,Exhausted CD8+ T cells,T
X122293366680350.N,2,Pro-angiogenesis Macrophage,N
X122293366680884.N,2,Pro-angiogenesis Macrophage,N
X122293367269100.N,0,Effector/Memory CD4+ T cells,N
X122293367467251.T,9,Exhausted CD8+ T cells,T
X122293379291997.N,3,Pro-angiogenesis Macrophage,N
X122293379353518.N,4,Macrophage,N
X122293379516341.N,2,Pro-angiogenesis Macrophage,N
X122293379616174.N,1,Effector/Memory CD8+ T cells,N
X122293379782518.T,0,Tfh/Th1 helper CD4+ T cells,T
X122293398170549.T,0,CD4+ T cell,T
X122293398387613.T,1,CD8+ T cell,T
X122293398396323.N,1,Effector/Memory CD8+ T cells,N
