cell,integration_cluster,cell_type,sample_type
X125719977606508.N,3,Pro-angiogenesis Macrophage,N
X125728252345260.N,0,Effector/Memory CD4+ T cells,N
X125728252615075.T,1,CD8+ T cell,T
X125728252869470.N,2,Pro-angiogenesis Macrophage,N
X125728252902302.N,6,Natural killer cell,N
X125728267029349.N,6,Natural killer cell,N
X125728267037547.N,0,Effector/Memory CD4+ T cells,N
X125728267328859.N,2,Pro-angiogenesis Macrophage,N
X125728267351990.N,3,Pro-angiogenesis Macrophage,N
X125728267618150.N,6,Natural killer cell,N
X125728279620515.N,2,Pro-angiogenesis Macrophage,N
X125728298224499.N,3,Pro-angiogenesis Macrophage,N
X125728298265525.N,6,Natural killer cell,N
X125728298777460.N,0,Effector/Memory CD4+ T cells,N
X125728299079388.T,6,Natural killer cell,T
X125745298262875.T,5,B Cell,T
X125745298263469.N,0,Effector/Memory CD4+ T cells,N
X125745298337123.N,0,Blood Cell,N
X125745298561325.N,6,Natural killer cell,N
X125745312492827.N,6,Natural killer cell,N
X125745312714102.N,6,Natural killer cell,N
X125745312778022.T,4,Any Cell,T
X125745312983260.T,0,CD4+ T cell,T
X125745313204638.T,1,CD8+ T cell,T
X125745313234206.N,7,Pro-inflammatory Macrophage,N
X125745325336438.N,4,Macrophage,N
X125745325337827.N,2,Pro-angiogenesis Macrophage,N
X125745325358453.T,3,Pro-angiogenesis Macrophage,T
X125745325554419.T,4,Blood Cell,T
X125745325824820.T,1,CD8+ T cell,T
X125745325861091.N,5,Blood Cell,N
X125745325889846.N,3,Pro-angiogenesis Macrophage,N
X125745344138157.N,6,Natural killer cell,N
X125745344174885.T,8,Non Stromal Cell,T
X125745344179116.T,4,Macrophage,T
X126132113295660.N,0,Effector/Memory CD4+ T cells,N
X126132113324789.N,11,Pro-angiogenesis Macrophage,N
X126132113495990.T,1,Exhausted CD8+ T cells,T
X126132113759076.T,2,Phagocytosis Macrophage,T
X126132113828764.T,8,Pancreatic Cancer Cell,T
X126132113852259.N,4,Naive CD4+ T cells,N
X126132114012062.T,0,CD4+ T cell,T
X126132114053421.T,2,Macrophage,T
X126132128234859.N,7,Pro-inflammatory Macrophage,N
X126132128270118.N,3,Pro-angiogenesis Macrophage,N
X126132128270118.T,4,Phagocytosis Macrophage,T
X126132128275675.T,8,CAFinfla,T
X126132128507806.T,0,CD4+ T cell,T
X126132128700707.N,4,Macrophage,N
X126132128795355.N,2,Pro-angiogenesis Macrophage,N
X126132159433139.T,12,Endothelial Cells,T
X126132159887670.N,0,Effector/Memory CD4+ T cells,N
X126132160224486.T,0,CD8+ T cell,T
X126149024758572.N,3,Pro-angiogenesis Macrophage,N
X126149024921453.N,2,Pro-angiogenesis Macrophage,N
X126149024931101.T,14,Mast cell,T
X126149024933723.N,0,Effector/Memory CD4+ T cells,N
X126149024999141.T,0,CD4+ T cell,T
X126149025028828.N,3,Pro-angiogenesis Macrophage,N
X126149025455325.N,0,Effector/Memory CD4+ T cells,N
X126149039344557.T,5,B Cell,T
X126149039347500.T,0,CD4+ T cell,T
X126149039373668.N,4,Macrophage,N
X126149039873332.N,13,Lung Cancer Cell,N
X126149039934180.N,3,Pro-angiogenesis Macrophage,N
X126149039975645.N,6,Natural killer cell,N
X126149040171955.N,6,Natural killer cell,N
X126149051968357.T,0,CD4 or CD8 T cell,T
X126149052188909.N,2,Pro-angiogenesis Macrophage,N
X126149052189413.N,3,Pro-angiogenesis Macrophage,N
X126149052250547.T,0,Tfh/Th1 helper CD4+ T cells,T
X126149052479787.N,1,Effector/Memory CD8+ T cells,N
X126149052549980.T,0,CD4+ T cell,T
X126149071431390.T,1,CD4 or CD8 T cell,T
X126149071615790.N,2,Pro-angiogenesis Macrophage,N
X126218818144693.N,1,CD8 T or NK cell,N
X126218818414451.N,3,Pro-angiogenesis Macrophage,N
X126218818501404.T,8,CAFinfla,T
X126218832599275.T,5,B Cell,T
X126218832854262.N,1,Effector/Memory CD8+ T cells,N
X126218832858486.N,0,Effector/Memory CD4+ T cells,N
X126218833446830.N,3,Pro-angiogenesis Macrophage,N
X126218845145956.N,3,Pro-angiogenesis Macrophage,N
X126218845154614.N,2,Pro-angiogenesis Macrophage,N
X126218845248422.T,5,B Cell,T
X126218845481757.N,3,Pro-angiogenesis Macrophage,N
X126218845673900.T,4,Macrophage,T
X126218845939420.T,8,Pancreatic Cancer Cell,T
X126218846034347.T,1,Effector/Memory CD8+ T cells,T
X126218846038836.T,1,Exhausted CD8+ T cells,T
X126218864121773.T,5,B Cell,T
X126218864637734.T,0,Tfh/Th1 helper CD4+ T cells,T
X126227542661918.T,4,Macrophage,T
X126227542862627.N,6,Natural killer cell,N
X126227556718940.N,0,Blood Cell,N
X126227557038499.N,4,Pro-angiogenesis Macrophage,N
X126227557046070.T,0,CD4+ T cell,T
X126227569364315.N,1,Effector/Memory CD8+ T cells,N
X126227569630444.T,0,CD4+ T cell,T
X126227588172213.T,5,B Cell,T
X126227588438301.N,2,Pro-angiogenesis Macrophage,N
X126227588438830.T,2,Phagocytosis Macrophage,T
X126227588769636.N,1,Effector/Memory CD4+ T cells,N
X126293980432227.T,1,Exhausted CD8+ T cells,T
X126293980670683.T,0,CD4+ T cell,T
X126293994564381.N,2,Pro-angiogenesis Macrophage,N
X126293994748342.T,0,T regulatory cells,T
X126293994847083.T,5,B Cell,T
X126293995337653.T,0,Effector/Memory CD8+ T cells,T
X126294007367517.N,0,Blood Cell,N
X126294007396787.N,2,Pro-angiogenesis Macrophage,N
X126294007695260.T,3,Pro-angiogenesis Macrophage,T
X126294007695771.N,3,Pro-angiogenesis Macrophage,N
X126294026053420.N,3,Pro-angiogenesis Macrophage,N
X126294026271068.N,3,Pro-angiogenesis Macrophage,N
X126294026767286.N,3,Pro-angiogenesis Macrophage,N
X126364041468267.N,0,Effector/Memory CD4+ T cells,N
X126364041726886.T,5,B Cell,T
X126364041795316.N,13,Lung Cancer Cell,N
X126364041829739.T,8,Pancreatic Cancer Cell,T
X126364041832814.T,5,B Cell,T
X126364041993014.N,0,Effector/Memory CD8+ T cells,N
X126364042324828.T,5,B Cell,T
X126364056440227.N,2,Pro-angiogenesis Macrophage,N
X126364056729526.N,2,Pro-angiogenesis Macrophage,N
X126364056734125.N,6,Natural killer cell,N
X126364069055389.T,1,Exhausted CD8+ T cells,T
X126364087900910.T,1,Exhausted CD8+ T cells,T
X126364088428779.T,2,Phagocytosis Macrophage,T
X126680929626477.N,2,Pro-angiogenesis Macrophage,N
X126680929855405.N,2,Pro-angiogenesis Macrophage,N
X126680929876190.N,8,Lung Cancer Cell,N
X126680930137900.T,4,Blood Cell,T
X126680944724916.N,0,Effector/Memory CD4+ T cells,N
X126680945085283.T,1,CD4+ T cell,T
X126680957143789.N,3,Pro-angiogenesis Macrophage,N
X126680957151579.T,10,CAFmyo,T
X126680957606251.T,1,Exhausted CD8+ T cells,T
X126680975732021.N,3,Pro-angiogenesis Macrophage,N
X126680975993573.T,1,Tfh/Th1 helper CD4+ T cells,T
X126680976287454.T,0,CD4+ T cell,T
X126681600671147.N,9,Pro-angiogenesis Macrophage,N
X126681600674539.N,2,Pro-angiogenesis Macrophage,N
X126681600965852.T,2,Phagocytosis Macrophage,T
X126681615292771.N,7,Pro-angiogenesis Macrophage,N
X126681615297454.T,0,T regulatory cells,T
X126681615579869.N,3,Pro-angiogenesis Macrophage,N
X126681615911668.N,9,Pro-angiogenesis Macrophage,N
X126681627871606.N,0,Effector/Memory CD4+ T cells,N
X126681627875038.N,2,Pro-angiogenesis Macrophage,N
X126681627937502.N,3,Pro-angiogenesis Macrophage,N
X126681627970974.N,2,Pro-angiogenesis Macrophage,N
X126681628236214.T,5,B Cell,T
X126681628456692.T,0,Effector/Memory CD8+ T cells,T
X126681628666102.N,1,Effector/Memory CD8+ T cells,N
X126681628690270.T,5,B Cell,T
X126681628694830.N,3,Pro-angiogenesis Macrophage,N
X126681628731102.N,5,Blood Cell,N
X126681647077107.T,2,Macrophage,T
X126681647278492.N,1,Effector/Memory CD8+ T cells,N
X126706297026782.N,1,Effector/Memory CD8+ T cells,N
X126706323966693.N,2,Pro-angiogenesis Macrophage,N
X126706324007846.N,3,Pro-angiogenesis Macrophage,N
X126706324270307.T,1,CD8+ T cell,T
X126706324749678.N,3,Pro-angiogenesis Macrophage,N
X126706324753324.N,7,Macrophage,N
X126706342870262.T,5,B Cell,T
X126706342874398.T,1,Exhausted CD8+ T cells,T
X126706343438173.T,12,Endothelial Cells,T
X126706343693661.T,1,CD8+ T cell,T
X126707773336349.T,6,Exhausted CD8+ T cells,T
X126707773365660.N,0,T or NK Cell,N
X126707773654892.T,0,B Cell,T
X126707788045108.T,5,pDC,T
X126707788114787.N,6,Natural killer cell,N
X126707788541171.N,2,Pro-angiogenesis Macrophage,N
X126707800590573.N,3,Pro-angiogenesis Macrophage,N
X126707800685814.N,3,Pro-angiogenesis Macrophage,N
X126707800689374.N,3,Pro-angiogenesis Macrophage,N
X126707800697571.T,1,Effector/Memory CD8+ T cells,T
X126707801185524.N,3,Pro-angiogenesis Macrophage,N
X126707819298228.T,0,CD4+ T cell,T
X126707819472693.T,14,Mast cell,T
X126765620911387.N,8,Normal Fibroblast,N
X126765621000949.T,2,Phagocytosis Macrophage,T
X126765621202213.N,9,Natural killer cell,N
X126765621700918.T,1,Exhausted CD8+ T cells,T
X126765621734110.N,2,Pro-angiogenesis Macrophage,N
X126765621766446.T,0,CD4+ T cell,T
X126765635585966.T,2,Phagocytosis Macrophage,T
X126765635852070.N,6,Natural killer cell,N
X126765635921651.N,5,Pro-angiogenesis Macrophage,N
X126765648205677.N,3,Pro-angiogenesis Macrophage,N
X126765648210676.N,4,Natural killer cell,N
X126765648268006.N,5,Blood Cell,N
X126765648276340.N,2,Pro-angiogenesis Macrophage,N
X126765648431845.T,0,CD4 or CD8 T cell,T
X126765648996086.N,1,Effector/Memory CD8+ T cells,N
X126765648997604.N,0,Blood Cell,N
X126765667371365.T,0,Effector/Memory CD8+ T cells,T
X126765667596573.N,4,Pro-angiogenesis Macrophage,N
X126765667662556.N,2,Pro-angiogenesis Macrophage,N
X126776224111020.T,2,Pro-angiogenesis Macrophage,T
X126776224208667.N,3,Pro-angiogenesis Macrophage,N
X126776224365494.N,12,Endothelial Cells,N
X126776224365875.T,8,Pancreatic Cancer Cell,T
X126776224737652.N,4,Blood Cell,N
X126776224893806.N,8,Normal Fibroblast,N
X126776224898349.T,9,CD4 or CD8 T cell,T
X126776224900910.T,0,CD4+ T cell,T
X126776239085790.T,1,Exhausted CD8+ T cells,T
X126776239086316.N,2,Pro-angiogenesis Macrophage,N
X126776239349093.N,2,Pro-angiogenesis Macrophage,N
X126776239376813.T,5,B Cell,T
X126776239573347.T,0,Effector/Memory CD8+ T cells,T
X126776251411251.T,0,Tfh/Th1 helper CD4+ T cells,T
X126776252186035.N,2,Pro-angiogenesis Macrophage,N
X126776270509861.T,11,LAMP3 cDC,T
X126776270768029.T,1,CD4+ T cell,T
X126776270835036.N,3,Pro-angiogenesis Macrophage,N
X126776270863788.T,4,B Cell,T
X126834206195062.N,2,Pro-angiogenesis Macrophage,N
X126834206239604.T,1,Effector/Memory CD8+ T cells,T
X126834206521118.T,1,Exhausted CD8+ T cells,T
X126834206694198.T,0,Effector/Memory CD8+ T cells,T
X126834206959836.T,8,Non Blood Cell,T
X126834220919086.N,1,Effector/Memory CD8+ T cells,N
X126834221177755.T,0,Tfh/Th1 helper CD4+ T cells,T
X126834221406006.T,1,Tfh/Th1 helper CD4+ T cells,T
X126834221432054.N,3,Pro-angiogenesis Macrophage,N
X126834221442974.T,1,CD8+ T cell,T
X126834221443484.N,0,Effector/Memory CD4+ T cells,N
X126834221694179.T,4,Macrophage,T
X126834233755365.T,11,cDC2,T
X126834233756573.N,3,Pro-angiogenesis Macrophage,N
X126834252928757.T,0,CD4+ T cell,T
X126834253162741.T,12,Endothelial Cells,T
X126835145718509.T,6,Effector/Memory CD8+ T cells,T
X126835145758454.T,5,B Cell,T
X126835145985317.N,8,Normal Fibroblast,N
X126835146217891.T,0,Effector/Memory CD4+ T cells,T
X126835146250612.T,2,Phagocytosis Macrophage,T
X126835146279196.T,0,CD4+ T cell,T
X126835160463220.T,0,CD4+ T cell,T
X126835160468854.T,0,T regulatory cells,T
X126835160471780.N,2,Pro-angiogenesis Macrophage,N
X126835160668908.N,4,Naive CD4+ T cells,N
X126835160693997.N,2,Macrophage,N
X126835160922851.N,2,Pro-angiogenesis Macrophage,N
X126835160922851.T,4,Phagocytosis Macrophage,T
X126835160923508.N,0,Blood Cell,N
X126835160958877.N,3,Pro-angiogenesis Macrophage,N
X126835161156534.N,7,Macrophage,N
X126835161159412.N,1,Effector/Memory CD4+ T cells,N
X126835161216886.N,2,Pro-angiogenesis Macrophage,N
X126835161258203.N,2,Pro-angiogenesis Macrophage,N
X126835173284659.T,0,Effector/Memory CD8+ T cells,T
X126835173804829.T,0,CD4+ T cell,T
X126835173845812.T,2,Phagocytosis Macrophage,T
X126835191863590.N,3,Pro-angiogenesis Macrophage,N
X126835192162156.N,1,Effector/Memory CD4+ T cells,N
X126835192380651.N,0,Blood Cell,N
X126835192682725.T,0,Tfh/Th1 helper CD4+ T cells,T
X126836622190364.T,4,Macrophage,T
X126836622341997.N,8,Endothelial Cells,N
X126836622609774.N,6,Natural killer cell,N
X126836622616420.N,2,Pro-angiogenesis Macrophage,N
X126836622715628.T,5,B Cell,T
X126836622912222.T,0,CD4+ T cell,T
X126836637034355.N,0,Effector/Memory CD4+ T cells,N
X126836637063390.T,0,CD4+ T cell,T
X126836649605557.T,4,Phagocytosis Macrophage,T
X126836649867564.N,2,Pro-angiogenesis Macrophage,N
X126836649871596.T,12,Endothelial Cells,T
X126836668282726.N,0,Effector/Memory CD4+ T cells,N
X126885745776547.N,2,Pro-angiogenesis Macrophage,N
X126885746076957.T,0,Effector/Memory CD8+ T cells,T
X126885746293157.T,0,CD8+ T cell,T
X126885760518574.N,3,Pro-angiogenesis Macrophage,N
X126885761018076.T,5,B Cell,T
X126885761243942.N,3,Macrophage,N
X126885761345846.N,8,Normal Fibroblast,N
X126885773142445.N,2,Pro-angiogenesis Macrophage,N
X126885773330229.T,1,Exhausted CD8+ T cells,T
X126885773363501.N,1,Effector/Memory CD8+ T cells,N
X126885773601628.T,0,CD4+ T cell,T
X126885792439083.N,0,Effector/Memory CD4+ T cells,N
X126885792693091.T,1,Exhausted CD8+ T cells,T
X126885792770293.T,2,Phagocytosis Macrophage,T
X126886685300510.T,0,Effector/Memory CD8+ T cells,T
X126886685366045.T,5,B Cell,T
X126886685619949.N,2,Pro-angiogenesis Macrophage,N
X126886685620014.N,4,Blood Cell,N
X126886700019052.T,5,B Cell,T
X126886700276460.N,12,Endothelial Cells,N
X126886700342491.T,4,Macrophage,T
X126886700596507.T,5,B Cell,T
X126886700767523.T,0,CD8+ T cell,T
X126886712929139.T,5,B Cell,T
X126886713153444.T,9,Exhausted CD8+ T cells,T
X126886713412005.T,10,CAFmyo,T
X126886731467572.N,8,Lung Cancer Cell,N
X126886732323043.N,2,Pro-angiogenesis Macrophage,N
X129457492024683.T,1,Effector/Memory CD8+ T cells,T
X129457492192603.T,0,CD4+ T cell,T
X129457506446174.N,3,Pro-angiogenesis Macrophage,N
X129457506606491.N,6,Natural killer cell,N
X129457506871539.T,4,Macrophage,T
X129457507167603.T,8,CAFadi,T
X129457518959453.N,2,Pro-angiogenesis Macrophage,N
X129457519019883.N,3,Pro-angiogenesis Macrophage,N
X129457519552237.T,0,Naive CD4+ T cells,T
X129457538063132.N,6,Natural killer cell,N
X129457538063132.T,5,B Cell,T
X129457538095012.N,3,Pro-angiogenesis Macrophage,N
X129457538127582.T,5,B Cell,T
X129457538361262.T,9,Exhausted CD8+ T cells,T
X129497354386677.T,1,Exhausted CD8+ T cells,T
X129497355176171.N,4,Effector/Memory CD8+ T cells,N
X129497355205851.T,3,Macrophage,T
X129497369296118.N,6,Natural killer cell,N
X129497369303900.T,0,CD4+ T cell,T
X129497369360739.T,12,Endothelial Cells,T
X129497369791900.T,4,Macrophage,T
X129497381685990.N,0,CD8 T or NK cell,N
X129497382144244.N,2,Pro-angiogenesis Macrophage,N
X129497400494443.T,5,B Cell,T
X129497400560372.N,4,Pro-angiogenesis Macrophage,N
X129497400764724.N,3,Pro-angiogenesis Macrophage,N
X129497400990045.N,7,Macrophage,N
X129497401079590.N,4,Blood Cell,N
X129497401322795.T,5,B Cell,T
X129565671470894.N,2,Pro-angiogenesis Macrophage,N
X129565671709413.N,0,Effector/Memory CD4+ T cells,N
X129565672031971.N,4,Pro-angiogenesis Macrophage,N
X129565685828012.N,4,Macrophage,N
X129565686099301.T,4,Macrophage,T
X129565686188262.N,4,Macrophage,N
X129565686425334.T,0,CD4+ T cell,T
X129565686679398.T,5,B Cell,T
X129565698710372.T,5,B Cell,T
X129565698771693.N,2,Pro-angiogenesis Macrophage,N
X129565717588276.N,3,Pro-angiogenesis Macrophage,N
X129565717621662.N,0,Effector/Memory CD4+ T cells,N
X129565717809053.N,4,Pro-angiogenesis Macrophage,N
X129565717847460.N,4,Pro-angiogenesis Macrophage,N
X129565717851059.N,0,Effector/Memory CD4+ T cells,N
X129565717903142.T,5,B Cell,T
X129565718134062.T,2,Macrophage or Dendritic Cell,T
X129582985300844.T,0,CD4 or CD8 T cell,T
X129582985305446.T,5,B Cell,T
X129582999989021.T,0,Effector/Memory CD4+ T cells,T
X129583000010094.T,5,B Cell,T
X129583000738037.T,0,CD4+ T cell,T
X129583000799963.T,4,Phagocytosis Macrophage,T
X129583012829926.T,4,Macrophage,T
X129583013059484.N,1,Effector/Memory CD8+ T cells,N
X129583013128043.T,0,Blood Cell,T
X129583013386667.N,2,Pro-angiogenesis Macrophage,N
X129583031446837.N,3,Pro-angiogenesis Macrophage,N
X129583031634348.T,14,Mast cell,T
X129583031634852.N,3,Pro-angiogenesis Macrophage,N
X129583031736557.N,2,Pro-angiogenesis Macrophage,N
X129583031966053.N,6,Natural killer cell,N
X129583032191926.T,8,Pancreatic Cancer Cell,T
X129583032220974.N,0,Effector/Memory CD4+ T cells,N
X129663515872686.N,13,Lung Cancer Cell,N
X129663530620854.T,4,Macrophage,T
X129663530817372.T,0,Effector/Memory CD8+ T cells,T
X129663530843382.T,0,Naive CD4+ T cells,T
X129663531343141.N,0,Blood Cell,N
X129663543201115.N,2,Pro-angiogenesis Macrophage,N
X129663543466803.T,0,CD4+ T cell,T
X129663543471331.T,5,B Cell,T
X129663543758044.T,4,Blood Cell,T
X129663544023323.T,0,CD8+ T cell,T
X129663562069942.N,0,Effector/Memory CD4+ T cells,N
X129663562634997.N,0,Blood Cell,N
X129978391021995.N,2,Phagocytosis Macrophage,N
X129978406137054.N,3,Pro-angiogenesis Macrophage,N
X129978417928029.N,2,Pro-angiogenesis Macrophage,N
X129978418027379.T,10,CAFadi,T
X129978418452918.N,3,Pro-angiogenesis Macrophage,N
X129978418748643.N,6,Natural killer cell,N
X129978418783966.N,0,Blood Cell,N
X129978437098859.N,7,Macrophage,N
X129978437332190.N,8,CAFadi,N
X129978437364659.T,0,Natural killer cell,T
X130057579122076.N,6,Natural killer cell,N
X130057579190108.T,9,T regulatory cells,T
X130057593896302.T,6,Natural killer cell,T
X130057594129764.T,4,Macrophage,T
X130057594652518.T,6,Effector/Memory CD8+ T cells,T
X130057594685358.T,4,Macrophage,T
X130057606719350.N,0,Effector/Memory CD4+ T cells,N
X130057606945637.T,0,CD8+ T cell,T
X130057607170348.T,4,Macrophage,T
X130057607210742.N,0,Effector/Memory CD4+ T cells,N
X130057625320803.T,13,Non Stromal Cell,T
X130057625556900.N,11,Macrophage or Dendritic Cell,N
X130057625594782.T,0,CD4+ T cell,T
X130126433146612.T,11,cDC2,T
X130126433377716.T,1,Exhausted CD8+ T cells,T
X130126447536868.N,3,Pro-angiogenesis Macrophage,N
X130126448314270.T,2,Macrophage,T
X130126448323507.N,4,Phagocytosis Macrophage,N
X130126460415203.N,0,Naive CD4+ T cells,N
X130126460869995.N,2,Pro-angiogenesis Macrophage,N
X130126460892974.N,3,Pro-angiogenesis Macrophage,N
X130126460934899.T,5,B Cell,T
X130126460937950.T,10,CAFadi,T
X130126478949677.T,2,Phagocytosis Macrophage,T
X130126479309686.T,1,Exhausted CD8+ T cells,T
X130126479776107.N,2,Pro-angiogenesis Macrophage,N
X130126479776475.N,7,Macrophage,N
X130126479805685.T,0,Effector/Memory CD8+ T cells,T
X130126479808741.T,9,Exhausted CD8+ T cells,T
X130134888535773.N,0,Effector/Memory CD4+ T cells,N
X130134888831899.N,0,Effector/Memory CD4+ T cells,N
X130134888836390.N,2,Pro-angiogenesis Macrophage,N
X130134889360094.T,4,CD4+ T cell,T
X130134889392859.N,6,Natural killer cell,N
X130134903253942.T,3,Macrophage,T
X130134903511771.T,0,Effector/Memory CD8+ T cells,T
X130134903831835.N,0,Blood Cell,N
X130134903843045.N,1,Effector/Memory CD8+ T cells,N
X130134904006573.T,4,Phagocytosis Macrophage,T
X130134904040798.T,5,B Cell,T
X130134915836723.T,2,Macrophage,T
X130134915857627.T,0,CD4+ T cell,T
X130134916118876.T,1,Exhausted CD8+ T cells,T
X130134916156213.T,1,Exhausted CD8+ T cells,T
X130134916581686.N,2,Pro-angiogenesis Macrophage,N
X130134916618603.N,2,Pro-angiogenesis Macrophage,N
X130134934678773.T,2,Phagocytosis Macrophage,T
X130134934935837.N,2,Pro-angiogenesis Macrophage,N
X130134934993331.N,11,Macrophage or Dendritic Cell,N
X130134935256486.T,5,B Cell,T
X130134935289204.N,6,Natural killer cell,N
X130134935529717.N,6,Natural killer cell,N
X130142270834973.T,7,Macrophage,T
X130142271133941.T,5,B Cell,T
X130142271301422.T,5,B Cell,T
X130142285191523.N,7,Pro-angiogenesis Macrophage,N
X130142285221299.N,3,Pro-angiogenesis Macrophage,N
X130142285557046.T,9,Macrophage,T
X130142286011124.T,1,Exhausted CD8+ T cells,T
X130142286015859.T,1,CD4 or CD8 T cell,T
X130142286036195.T,1,CD8+ T cell,T
X130142286076123.N,4,Macrophage,N
X130142297775022.T,1,Effector/Memory CD8+ T cells,T
X130142297844444.T,0,T regulatory cells,T
X130142298299805.T,0,CD4+ T cell,T
X130142298561269.T,0,CD4+ T cell,T
X130142316641587.N,4,Macrophage,N
X130142316713773.N,2,Pro-angiogenesis Macrophage,N
X130142316717867.T,4,Blood Cell,T
X130142316751156.T,4,Blood Cell,T
X130142317274908.T,0,CD4+ T cell,T
X130142317528924.T,1,CD8+ T cell,T
X130142317533467.N,12,Endothelial Cells,N
X130144686460332.T,10,CAFinfla,T
X130144701106525.T,0,Effector/Memory CD4+ T cells,T
X130144701405406.N,2,Pro-angiogenesis Macrophage,N
X130144701409566.N,7,Macrophage,N
X130144713792422.T,9,Effector/Memory CD8+ T cells,T
X130144713796965.T,4,Macrophage,T
X130144713959860.T,0,CD4+ T cell,T
X130144714213805.N,2,Pro-angiogenesis Macrophage,N
X130144714574171.N,8,Normal Fibroblast,N
X130144732829422.T,1,Exhausted CD8+ T cells,T
X130144733092189.T,1,Exhausted CD8+ T cells,T
X130144733456606.T,0,CD4+ T cell,T
X130184146471860.T,1,Effector/Memory CD8+ T cells,T
X130184147261804.N,1,CD4 or CD8 T cell,N
X130184161413869.N,3,Pro-angiogenesis Macrophage,N
X130184161413869.T,5,B Cell,T
X130184161442093.N,0,Effector/Memory CD4+ T cells,N
X130184173704941.N,3,Pro-angiogenesis Macrophage,N
X130184173767390.N,2,Pro-angiogenesis Macrophage,N
